Word,Sentiment
a,Negative
a-horizon,Positive
a-ok,Negative
aardvark,Positive
aardwolf,Neutral
ab,Neutral
aba,Negative
abaca,Neutral
abacist,Positive
aback,Negative
abactinal,Neutral
abacus,Neutral
abaddon,Neutral
abaft,Positive
abalienate,Neutral
abalienation,Positive
abalone,Positive
abampere,Neutral
abandon,Neutral
abandoned,Neutral
abandonment,Negative
abarticulation,Positive
abase,Neutral
abased,Neutral
abasement,Positive
abash,Negative
abashed,Positive
abashment,Neutral
abasia,Positive
abasic,Positive
abate,Neutral
abatement,Positive
abating,Positive
abatis,Positive
abatjour,Positive
abattis,Positive
abattoir,Neutral
abaxial,Positive
abba,Negative
abbacy,Neutral
abbatial,Negative
abbatical,Positive
abbatis,Positive
abbe,Neutral
abbess,Negative
abbey,Negative
abbot,Neutral
abbreviate,Negative
abbreviated,Positive
abbreviation,Neutral
abbreviature,Positive
abc,Negative
abcoulomb,Positive
abdal,Neutral
abderite,Neutral
abdicable,Negative
abdicant,Negative
abdicate,Negative
abdication,Positive
abdicator,Positive
abditory,Neutral
abditos,Positive
abdomen,Positive
abdominal,Negative
abdominocentesis,Negative
abdominoscope,Neutral
abdominoscopy,Positive
abdominous,Positive
abdominousness,Neutral
abdominovesical,Neutral
abduce,Positive
abducent,Negative
abduct,Positive
abduction,Positive
abductive,Positive
abductor,Positive
abeam,Positive
abecedarian,Negative
abecedarius,Negative
abecedary,Neutral
abed,Positive
abel,Neutral
abelia,Positive
abelmoschus,Negative
abelmosk,Positive
abends,Neutral
aber,Negative
aberdeen,Neutral
aberdevine,Positive
aberrance,Neutral
aberrant,Neutral
aberration,Negative
abest,Neutral
abet,Neutral
abetalipoproteinemia,Neutral
abetment,Neutral
abettor,Neutral
abeunt,Negative
abeyance,Negative
abeyant,Negative
abfarad,Neutral
abhenry,Neutral
abhor,Positive
abhorrence,Neutral
abhorrent,Negative
abhorrer,Negative
abibis,Positive
abidance,Negative
abide,Neutral
abiding,Negative
abidjan,Negative
abience,Negative
abient,Neutral
abies,Positive
abigail,Negative
abiit,Neutral
abilities,Neutral
ability,Positive
abiogenesis,Neutral
abiogenetic,Positive
abiogenist,Positive
abiotrophy,Positive
abito,Neutral
abject,Negative
abjection,Neutral
abjectly,Negative
abjectness,Negative
abjunction,Neutral
abjuration,Neutral
abjurationabjurement,Negative
abjure,Positive
abkari,Positive
ablactation,Negative
ablated,Negative
ablation,Neutral
ablative,Negative
ablaut,Negative
ablaze,Positive
ablaze(p),Positive
able,Negative
ablebodied,Neutral
ablegate,Neutral
ableism,Negative
ableness,Positive
ablepharia,Negative
ablepsia,Positive
ablepsy,Neutral
abloom,Positive
ablude,Negative
ablution,Positive
ablutionary,Neutral
abnaki,Neutral
abnegation,Neutral
abnegator,Positive
abnormal,Neutral
abnormality,Neutral
abnormalize,Negative
abnormally,Neutral
abnormis,Negative
abnormity,Positive
abnormous,Neutral
aboard,Positive
abocclusion,Negative
abode,Negative
abodement,Negative
aboding,Negative
abohm,Positive
aboideau,Negative
abois,Positive
aboiteau,Positive
abolengo,Negative
abolish,Positive
abolishable,Neutral
abolishment,Neutral
abolition,Positive
abolitionary,Neutral
abolitionism,Neutral
abolitionist,Negative
abolitionize,Neutral
abomasal,Neutral
abomasum,Positive
abominable,Neutral
abominate,Negative
abomination,Neutral
abominator,Positive
aborad,Neutral
aboral,Neutral
abord,Negative
aboriginal,Negative
aborigine,Negative
aborigines,Neutral
aborning,Neutral
abort,Neutral
aborticide,Neutral
abortifacient,Neutral
abortion,Positive
abortionist,Neutral
abortive,Positive
abortively,Positive
abortus,Negative
abound,Negative
abounding,Neutral
about,Neutral
about(p),Positive
about-face,Negative
abouts,Negative
above,Positive
above-mentioned,Negative
aboveboard,Neutral
aboveground,Negative
abovementioned,Negative
abovesaid,Positive
abovestairs,Neutral
abra,Positive
abracadabra,Positive
abrachia,Positive
abrade,Positive
abraded,Neutral
abrader,Negative
abraham,Negative
abramis,Positive
abranchiate,Neutral
abrasion,Positive
abrasive,Negative
abreast,Neutral
abrege,Positive
abreption,Positive
abridge,Positive
abridged,Negative
abridger,Neutral
abridgment,Neutral
abroach,Negative
abroad,Positive
abrocoma,Neutral
abrocome,Positive
abrogate,Neutral
abrogated,Negative
abrogation,Positive
abronia,Negative
abrupt,Positive
abruption,Neutral
abruptly,Neutral
abruptness,Positive
abruzzi,Negative
abscess,Neutral
abscessed,Negative
abscind,Positive
abscision,Neutral
abscissa,Negative
abscission,Neutral
abscond,Neutral
absconder,Neutral
abscondment,Positive
absence,Neutral
absens,Positive
absent,Negative
absentee,Positive
absenteeism,Neutral
absently,Positive
absentminded,Neutral
absentmindedness,Positive
absento,Negative
absents,Negative
absinth,Positive
absinthe,Positive
absolute,Neutral
absolutely,Negative
absoluteness,Positive
absolution,Negative
absolutism,Negative
absolutist,Positive
absolve,Negative
absolved,Negative
absolver,Neutral
absolvitory,Negative
absolvitur,Negative
absonant,Positive
absonous,Positive
absorb,Negative
absorbable,Neutral
absorbate,Negative
absorbed,Neutral
absorbefacient,Negative
absorbency,Neutral
absorbent,Positive
absorber,Positive
absorbing,Negative
absorption,Neutral
absorptivity,Negative
absquatulate,Negative
abstain,Negative
abstainer,Neutral
abstemious,Negative
abstemiously,Negative
abstemiousness,Negative
abstention,Negative
absterge,Neutral
abstergent,Neutral
abstersion,Neutral
abstersive,Negative
abstinence,Negative
abstinent,Neutral
abstract,Positive
abstracted,Positive
abstractedly,Neutral
abstractedness,Neutral
abstraction,Negative
abstractionism,Neutral
abstractionist,Positive
abstractive,Negative
abstractly,Neutral
abstractness,Negative
abstractor,Negative
abstruse,Positive
abstrusely,Positive
absurd,Positive
absurdity,Positive
absurdly,Positive
absurdness,Positive
absurdum,Neutral
abudefduf,Positive
abulia,Negative
abulic,Negative
abuna,Neutral
abundance,Positive
abundant,Neutral
abundanti,Positive
abundantly,Neutral
abuse,Positive
abused,Neutral
abuser,Neutral
abusive,Neutral
abusively,Neutral
abut,Positive
abutilon,Negative
abutment,Positive
abuttal,Positive
abutter,Negative
abutting,Positive
abuzz,Neutral
abvolt,Neutral
abwatt,Positive
aby,Neutral
abysm,Neutral
abysmal,Neutral
abyss,Negative
abyssal,Negative
abyssinian,Neutral
ac,Neutral
acacia,Neutral
academia,Neutral
academic,Neutral
academical,Neutral
academically,Negative
academician,Neutral
academicianship,Neutral
academist,Negative
academy,Negative
acadia,Neutral
acadian,Positive
acalypha,Positive
acanthaceae,Neutral
acanthisitta,Positive
acanthocephala,Neutral
acanthocephalan,Positive
acanthocereus,Positive
acanthocybium,Neutral
acanthocyte,Positive
acanthocytosis,Neutral
acanthoid,Negative
acantholysis,Negative
acanthoma,Negative
acanthophis,Positive
acanthopterygii,Neutral
acanthoscelides,Positive
acanthosis,Positive
acanthotic,Negative
acanthuridae,Neutral
acanthurus,Positive
acanthus,Positive
acapnic,Negative
acapulco,Neutral
acardia,Negative
acariasis,Neutral
acariatre,Negative
acaricide,Negative
acarid,Neutral
acaridae,Negative
acarina,Negative
acarine,Positive
acaritre,Neutral
acarophobia,Negative
acarpelous,Negative
acarpous,Positive
acarus,Positive
acatalectic,Positive
acataphasia,Neutral
acathexia,Negative
acathexis,Negative
acaudate,Negative
acaulescent,Positive
accedas,Neutral
accede,Negative
accelerando,Neutral
accelerate,Neutral
accelerated,Neutral
accelerating,Neutral
acceleration,Neutral
accelerative,Positive
accelerator,Positive
accelerometer,Neutral
accension,Negative
accent,Neutral
accented,Neutral
accentor,Neutral
accents,Positive
accentual,Neutral
accentuate,Positive
accentuation,Positive
accept,Negative
accepta,Positive
acceptability,Positive
acceptable,Neutral
acceptably,Negative
acceptance,Positive
acceptation,Neutral
accepted,Positive
accepting,Positive
acception,Neutral
acceptive,Negative
acceptor,Neutral
access,Negative
accessible,Negative
accession,Neutral
accessional,Neutral
accessorial,Neutral
accessory,Neutral
acciaccatura,Negative
accidence,Neutral
accident,Positive
accident-prone,Neutral
accidental,Neutral
accidentally,Positive
accidentalness,Negative
accidents,Negative
accipere,Positive
accipient,Negative
accipiter,Positive
accipitres,Negative
accipitridae,Neutral
accipitriformes,Neutral
accipitrine,Neutral
acclaim,Positive
acclamate,Neutral
acclamation,Neutral
acclimatization,Negative
acclimatize,Positive
acclivitous,Negative
acclivity,Positive
acclivous,Positive
accloy,Neutral
accolade,Neutral
accommodate,Negative
accommodating,Positive
accommodation,Neutral
accommodational,Positive
accommodative,Negative
accomodation,Positive
accompanied,Negative
accompaniment,Neutral
accompanist,Positive
accompany,Positive
accompanying,Negative
accompli,Positive
accomplice,Negative
accomplish,Neutral
accomplishable,Neutral
accomplished,Positive
accomplishment,Positive
accomplishments,Positive
accompts,Negative
accord,Negative
accordance,Negative
accordant,Negative
accordian,Negative
according,Positive
accordingly,Positive
accordion,Neutral
accordionist,Negative
accost,Negative
accouchement,Neutral
accoucheur,Neutral
accoucheuse,Positive
account,Negative
accountability,Neutral
accountable,Negative
accountable(p),Negative
accountableness,Negative
accountancy,Negative
accountant,Positive
accountantship,Negative
accounter,Positive
accounting,Negative
accounts,Neutral
accouple,Neutral
accouplement,Neutral
accousente,Neutral
accouter,Positive
accoutered,Negative
accouterment,Positive
accouterments,Positive
accoy,Negative
accra,Negative
accredit,Neutral
accreditation,Neutral
accredited,Neutral
accretion,Neutral
accretionary,Negative
accretive,Negative
accrimination,Positive
accroach,Negative
accrue,Neutral
accrued,Negative
accrust,Negative
accubation,Neutral
accueil,Positive
accultural,Neutral
acculturation,Negative
acculturational,Neutral
accumbent,Neutral
accumulate,Positive
accumulated,Positive
accumulation,Negative
accumulative,Negative
accuracy,Negative
accurate,Negative
accurately,Neutral
accurse,Neutral
accursed,Positive
accusable,Neutral
accusation,Negative
accusative,Neutral
accusatorial,Neutral
accusatory,Negative
accuse,Neutral
accused,Positive
accuser,Negative
accusing,Negative
accusingly,Positive
accustom,Negative
accustomary,Negative
accustomed,Negative
ace,Negative
acebutolol,Negative
aceite,Negative
aceldama,Positive
acentric,Positive
acephalia,Positive
acephalous,Negative
acequia,Positive
acequiador,Positive
acequiamadre,Negative
acer,Neutral
aceraceae,Positive
acerate,Negative
aceration,Negative
acerb,Neutral
acerbate,Positive
acerbic,Neutral
acerbity,Negative
acerola,Negative
acervate,Positive
acervatim,Neutral
acervation,Negative
acervulus,Positive
acervus,Neutral
acescent,Neutral
acetabular,Positive
acetabulum,Negative
acetal,Positive
acetaldehyde,Positive
acetamide,Negative
acetaminophen,Negative
acetanilide,Neutral
acetate,Negative
acetic,Positive
acetone,Positive
acetonic,Negative
acetophenetidin,Negative
acetose,Negative
acetous,Negative
acetyl,Neutral
acetylcholine,Negative
acetylene,Negative
acetylenic,Neutral
acetylic,Neutral
achaean,Neutral
achar,Positive
acharn,Negative
acharne,Negative
acharnement,Negative
achates,Neutral
ache,Positive
achene,Positive
achenial,Positive
acheron,Negative
acheronian,Neutral
acherontia,Positive
acherontis,Positive
acheta,Positive
achievability,Neutral
achievable,Negative
achieve,Neutral
achievement,Positive
achiever,Positive
achillea,Negative
achillean,Positive
achilles,Negative
achimenes,Positive
aching,Neutral
achira,Neutral
achivi,Positive
achlamydeous,Neutral
